LCode,Municipality,Years,Event,Count,Total_Count
0,No Data,1993,Flood,1,Very HIgh
0,No Data,2007,Flood,1,Very HIgh
0,No Data,2009,Flood,1,Very HIgh
0,No Data,2011,Flood,1,Very HIgh
0,No Data,2013,Flood,1,Very HIgh
0,No Data,2014,Flood,1,Very HIgh
0,No Data,2016,Flood,1,Very HIgh
60601,Naumule,2002,Flood,5,High
60601,Naumule,2008,Flood,1,High
60601,Naumule,2016,Flood,1,High
60602,Mahabu,1991,Flood,1,Low
60602,Mahabu,2008,Flood,2,Low
60603,Bhairabi,2008,Flood,3,Very High
60603,Bhairabi,2012,Flood,1,Very High
60603,Bhairabi,2021,Flood,1,Very High
60604,Thantikandh,2010,Flood,1,Very Low
60605,Aathbis,1981,Flood,1,Medium
60605,Aathbis,1991,Flood,1,Medium
60605,Aathbis,2008,Flood,1,Medium
60605,Aathbis,2012,Flood,2,Medium
60606,Chamunda Bindrasaini,2012,Flood,2,Low
60606,Chamunda Bindrasaini,2022,Flood,1,Low
60607,Dullu,2002,Flood,1,Low
60607,Dullu,2008,Flood,1,Low
60608,Narayan,2002,Flood,1,Medium
60608,Narayan,2008,Flood,3,Medium
60609,Bhagawatimai,2016,Flood,1,Very Low
60610,Dungeshwor,2008,Flood,2,Low
60610,Dungeshwor,2009,Flood,1,Low
