Lcode,MunicipalityName,GaPa_NaPa
10105,Aatharai Tribeni Rural Municipality,Aatharai Tribeni
10101,Phaktanlung Rural Municipality,Phaktanlung
10106,Phungling Urban Municipality,Phungling
10102,Mikwakhola Rural Municipality,Mikwakhola
10103,Meringden Rural Municipality,Meringden
10104,Maiwakhola Rural Municipality,Maiwakhola
10107,Pathivara Yangwarak Rural Municipality,Pathivara Yangwarak
10109,Sidingba Rural Municipality,Sidingba
10108,Sirijanga Rural Municipality,Sirijanga
10906,Kummayak Rural Municipality,Kummayak
10907,Tumbewa Rural Municipality,Tumbewa
10903,Falelung Rural Municipality,Falelung
10905,Falgunanda Rural Municipality,Falgunanda
10904,Phidim Urban Municipality,Phidim
10908,Miklajung Rural Municipality,Miklajung
10901,Yangbarak Rural Municipality,Yangbarak
10902,Hilihan Rural Municipality,Hilihan
11003,Illam Urban Municipality,Illam
11007,Chulachuli Rural Municipality,Chulachuli
11004,Deumai Urban Municipality,Deumai
11005,Fakfokathum Rural Municipality,Fakfokathum
11008,Mai Urban Municipality,Mai
11001,Mai Jogmai Rural Municipality,Mai Jogmai
11006,Mangsebung Rural Municipality,Mangsebung
11010,Rong Rural Municipality,Rong
11002,Sandakpur Rural Municipality,Sandakpur
11009,Suryodaya Urban Municipality,Suryodaya
11103,Arjundhara Urban Municipality,Arjundhara
11115,Kachanakawal Rural Municipality,Kachanakawal
11104,Kankai Urban Municipality,Kankai
11106,Kamal Rural Municipality,Kamal
11108,Gauradaha Urban Municipality,Gauradaha
11109,Gauriganj Rural Municipality,Gauriganj
11110,Jhapa Rural Municipality,Jhapa
11107,Damak Urban Municipality,Damak
11111,Barhadashi Rural Municipality,Barhadashi
11102,Buddhashanti Rural Municipality,Buddhashanti
11114,Bhadrapur Urban Municipality,Bhadrapur
11101,Mechinagar Urban Municipality,Mechinagar
11112,Birtamod Urban Municipality,Birtamod
11105,Shivasatakshi Urban Municipality,Shivasatakshi
11113,Haldibari Rural Municipality,Haldibari
