Indicator Header,Indicator Name,Component,Class,Remarks
Total Male,Total number of male population,Exposure,Human,
Total Female,Total number of female population,Exposure,Human,
Population density,Population density,Sensitivity,Human,
Household Count Change (2011-2021),Change in Household number (2011-2021),Exposure,Human,
Population Change (2011-2021),Population Change (2011-2021),Exposure,Human,
Percentage of population change,Percentage of population change (2011-2021),Exposure,Human,Added after IWMI discussion
Average number of people per household (family size),Average number of people per household ,Sensitivity,Human,
Percentage of religious minority population,Percentage of religious minority population,Sensitivity,Social,
Percentage of absentee population,Percentage of absentee population,Sensitivity,Human,
Number of male migrants,Total number of male migrants,Sensitivity,Human,
Number of physically disabled persons,Total number of physically disabled persons,Sensitivity,Human,
Percentage of economically active population,Percentage of economically active population,Adaptive Capacity,Human,
Number of adolescent population (10-19 years),Total number of adolescent population (10-19 years),Sensitivity,Human,
Percentage of population < 5 years,Percentage of population < 5 years,Sensitivity,Human,
Number of infants (vulnerable group),Total number of infants (vulnerable group),Sensitivity,Human,
Number of women of reproductive age (15-45 years) (vulnerable group),Total number of women of reproductive age (15-45 years) (vulnerable group),Sensitivity,Human,
Number of girls and women above age 15,Total number of girls and women above age 15,Sensitivity,Human,
Number of girls under age 15,Total number of girls under age 15,Sensitivity,Human,
Number of boys under age 15,Total number of boys under age 15,Sensitivity,Human,
Percentage of female-headed households,Percentage of female-headed households,Sensitivity,Social,
Percentage of households with household assets,Percentage of households with household assets,Adaptive Capacity,Social,
Percentage of families occupying rented houses,Percentage of families occupying rented houses,Sensitivity,Social,
Percentage of households with television access,Percentage of households with television access,Adaptive Capacity,Financial,
Percentage of households that are female owned,Percentage of households that are female owned,Adaptive Capacity,Financial,
Percentage of households with land owned by female,Percentage of households with land owned by female,Adaptive Capacity,Financial,
Percentage of population who cannot read and write (illiteracy),Percentage of population who cannot read and write (illiteracy),Sensitivity,Social,
Percentage of population who only completed school leaving certificate (SLC),Percentage of population who only completed school leaving certificate (SLC),Adaptive Capacity,Social,
Percentage of population who completed college degree,Percentage of population who completed college degree,Adaptive Capacity,Social,
