LCode,District,Area,Total Male,Total Female,Household Count Change (2011-2021),Population Change (2011-2021),Acute Gastro-Enteritis (AGE) Cases,Ameobic Dysentery/Amoebiasis Cases,Bacillary Dysentery/Shigellosis Cases,Cholera Cases,Hepatitis A Cases,Hepatitis E Cases,Intestinal Worms Cases,Jaundice Cases,Presumed Non-Infectious Diarrhoea Cases,Typhoid (Enteric Fever) Cases,Volume Depletion (Dehydration) Cases,Conjunctivitis Cases,Acute Encephalitis like Syndrome (AES) Cases,Dengue Fever Cases,Kala-Azar/Leshmaniasis Cases,Malaria (Plasmodium Falciparum) Cases,Malaria (Plasmodium Vivax) Cases,Acute Flaccid Paralysis (AFP) Cases,Anaemia/Polyneuropathy Cases,Avitaminoses & Other Nutrient Deficiency Cases,Average_NewExposure
60601,Dailekh,Naumule Gaunpalika,0.231921534,0.190593505,0.464183381,0.311937197,0.26610791,0.659711075,0.312605042,0.03030303,0.076923077,0,0.33361558,0.252669039,0.413176711,0.208071385,0.069124424,0.239909039,0,1,0,0,0,0,0.112676056,0.019417476,0.281976069
60602,Dailekh,Mahabu Gaunpalika,0.122336157,0.160806271,0.320916905,0.28815516,0.100401606,0.662386303,0.285154062,0.121212121,0.384615385,0,0.445385267,0.071174377,0.180183861,0.367572501,0.10875576,0.082717453,1,0,0,0,0,0,0.051643192,0.38592233,0.263788714
60603,Dailekh,Bhairabi Gaunpalika,0.151047704,0.189622994,0.146131805,0,0.075257552,0.273943285,0,0.037878788,0,0,0.066892464,0.017793594,0,0.050496857,0.244239631,0,0,0,0,0,0,0,0.014084507,0.148058252,0.057991718
60604,Dailekh,Thantikandh Gaunpalika,0.181899242,0.129003359,0.461318052,0.432001847,0.147197486,0.555377207,0.480672269,0.204545455,0.230769231,0,0,0.170818505,0.084167518,0.114277023,0.632258065,0.080159181,0,0,0,0,0,0,0.143192488,0.004854369,0.232807446
60605,Dailekh,Aathbis Municipality,0.745430227,0.612094065,0.974212034,1,0.430417321,1,1,0.340909091,0.923076923,0,0.787891617,0.306049822,0.237997957,0,1,0.232802729,0,0,0,0,0.1,0,1,0.138349515,0.500777031
60606,Dailekh,Chamunda Bindrasaini Municipality,0.546678556,0.440089586,0.41260745,0.664049873,0.245503754,0.943285179,0.378151261,0.045454545,0,0,0.349703641,0,0.117466803,0.166801866,0.169585253,0.287379193,0,0,0,0,0,0,0.084507042,0.029126214,0.234567131
60607,Dailekh,Dullu Municipality,1,1,1,0.015931656,0.326872708,0.562867844,0.97254902,1,1,0,1,1,1,1,0.185253456,0.473848778,0,0,0.05,1,1,1,0.26056338,0.983009709,0.447836505
60608,Dailekh,Narayan Municipality,0.473918859,0.467562523,0.747851003,0.355576079,1,0.329588015,0.794397759,0.090909091,0.384615385,1,0.83911939,0.370106762,0.907865169,0.33380653,0.036866359,1,0,0,0.2,0.166666667,0.3,0,0.333333333,1,0.365195195
60609,Dailekh,Bhagawatimai Gaunpalika,0.18965671,0.1154162,0,0.437312399,0.101449275,0.573033708,0.315406162,0.037878788,0,0,0.484335309,0.046263345,0.409193054,0.01906307,0.231336406,0.148664014,0,0,0,0,0,0,0.004694836,0.152912621,0.177447308
60610,Dailekh,Dungeshwor Gaunpalika,0,0,0.23495702,0.257677211,0,0,0.112044818,0,0,0,0.037256562,0.010676157,0.287129724,0.348205232,0,0.101478113,0,0,1,0,0.1,0,0,0,0.167088082
60611,Dailekh,Gurans Gaunpalika,0.313152029,0.234714446,0.363896848,0.374509351,0.142308364,0.397003745,0.517647059,0.037878788,0.461538462,0,0.265029636,0.270462633,0.120429009,0.372439667,0.022119816,0.217453098,0,0,0,0.166666667,0,0,0.091549296,0.199029126,0.172990425
