"LCode","Municipality","Year","Years","Event","Count","Total_Count"
"0","No Data","","1994","Fire","1","Very High"
"0","No Data","","1995","Fire","1","Very High"
"0","No Data","","1996","Fire","2","Very High"
"0","No Data","","1997","Fire","1","Very High"
"0","No Data","","2011","Fire","1","Very High"
"0","No Data","","2012","Fire","2","Very High"
"0","No Data","","2013","Fire","2","Very High"
"0","No Data","","2014","Fire","1","Very High"
"0","No Data","","2015","Fire","1","Very High"
"60601","Naumule","","1993","Fire","1","Very High"
"60601","Naumule","","2013","Fire","1","Very High"
"60601","Naumule","","2014","Fire","1","Very High"
"60601","Naumule","","2016","Fire","3","Very High"
"60601","Naumule","","2019","Fire","2","Very High"
"60601","Naumule","","2020","Fire","1","Very High"
"60601","Naumule","","2021","Fire","1","Very High"
"60601","Naumule","","2022","Fire","3","Very High"
"60602","Mahabu","","2001","Fire","1","Very Low"
"60602","Mahabu","","2021","Fire","1","Very Low"
"60603","Bhairabi","","2009","Fire","1","Very Low"
"60603","Bhairabi","","2021","Fire","1","Very Low"
"60603","Bhairabi","","2022","Fire","1","Very Low"
"60604","Thantikandh","","2022","Fire","3","Very Low"
"60605","Aathbis","","2011","Fire","1","Very Low"
"60605","Aathbis","","2021","Fire","1","Very Low"
"60606","Chamunda Bindrasaini","","2021","Fire","1","Very Low"
"60606","Chamunda Bindrasaini","","2022","Fire","1","Very Low"
"60607","Dullu","","2012","Fire","1","Medium"
"60607","Dullu","","2016","Fire","1","Medium"
"60607","Dullu","","2017","Fire","1","Medium"
"60607","Dullu","","2018","Fire","1","Medium"
"60607","Dullu","","2021","Fire","3","Medium"
"60607","Dullu","","2022","Fire","1","Medium"
"60608","Narayan","","2011","Fire","1","Medium"
"60608","Narayan","","2017","Fire","2","Medium"
"60608","Narayan","","2021","Fire","1","Medium"
"60608","Narayan","","2022","Fire","3","Medium"
"60609","Bhagawatimai","","2022","Fire","2","Very Low"
"60610","Dungeshwor","","2004","Fire","1","Low"
"60610","Dungeshwor","","2007","Fire","1","Low"
"60610","Dungeshwor","","2019","Fire","1","Low"
"60610","Dungeshwor","","2021","Fire","1","Low"
"60611","Gurans","","2008","Fire","1","Medium"
"60611","Gurans","","2011","Fire","1","Medium"
