LCode,District,Area,Number of flood incidence,Number of landslide incidence,Number of heatwaves incidence,Number of hailstorm incidence,Number of windstorm incidence,Number of lightning incidence,Number of fire incidence,Number of household damaged by flood,Number of household damaged by landslide,Number of death by landslide,Number of death by heat waves,Number of death by fire,Number of death by storms,Consecutive dry days,Cold spell during indicator,Consecutive wet days,Diurnal temperature range,Growing season length,Annual total wet-day precipitation,Number of heavy precipitation days,Number of very heavy precipitation days,Very wet days,Extremely wet days,Max 1-day precipitation amount,Max 5-day precipitation amount,Simple daily intensity index,Warm nights,Min Tmin,Max Tmin,Cool days,Warm days,Min Tmax,Max Tmax,Warm spell duration indicator,Average_Hazard,Average_hazard all
60601,Dailekh,Naumule Gaunpalika,0.8,0.533333333,0,0,0,0.192307692,0.2,1,0.25,0.45,0,0.2,0,0.173457138,1,0.324300305,0,0,0.546606301,0.860504554,0.181795728,0,0.038963337,0.053628384,0.069343525,0.045824654,0.107206662,0.554188512,0.227211447,1,0.490151745,0.067176479,0.391834521,0.644757213,0.381179372,0.305958574
60602,Dailekh,Mahabu Gaunpalika,1,0.733333333,0,0,1,1,1,0.05,1,0.9,0,1,1,0.047010834,0.461871861,0.425501612,0.326483291,0.493634801,0.997591071,1,1,0.329061408,0.175079154,0.2977369,0.387880355,0.655628483,0.186596996,0,0.5955556,0.481345725,0.639664626,0.066675634,1,0.185747832,0.541947486,0.542247045
60603,Dailekh,Bhairabi Gaunpalika,0.3,0,0,0,0,0.076923077,0.05,0.05,0,0,0,0.2,0,0,0.663988968,0.285013826,0.537329579,0.79566706,0.750314988,0.621718808,0.592064311,0.351119722,0.147678126,0.25997641,0.353826599,0.538103024,0.353647605,0.085938273,0.429566182,0.153641289,0.674326688,0.344761769,0.551240827,0.219313256,0.263691636,0.276063541
60604,Dailekh,Thantikandh Gaunpalika,0.1,0.066666667,0,0,0.333333333,0.038461538,0.05,0,0.015625,0.05,0,0.4,0.5,0.297388692,0.026258578,0,1,0.388362878,0.376958542,0,0.207722252,0.564704144,0.264074822,0.767254567,0.52503364,0.615192599,0.745804285,0.302278772,0.120791661,0.004695167,0.2169053,1,0.094307706,0.190353604,0.195657657,0.272416875
60605,Dailekh,Aathbis Municipality,0.3,0.8,0,0,0,0,0,0.2,0.125,0.1,0,0,0,0.507192445,0.445149115,0.162422186,0.930410823,0.883506321,0,0.130126606,0,0.08409678,0,0.190339085,0,0.391655914,0.265738898,0.53131423,0,0.268754363,0,0.562025683,0,0,0.257886403,0.202286249
60606,Dailekh,Chamunda Bindrasaini Municipality,0.1,0.333333333,0,0,0,0.153846154,0,0,0.515625,0.15,0,0,0,0.034650004,0.484167699,1,0.759825899,1,0.70135126,0.345994149,0.274561243,0.608579515,0.538657692,0.527934505,0.564865974,0.29075343,0.706822097,0.650733395,0.675681904,0.215747352,0.726065084,0.69930796,0.693515247,0.859405152,0.381781334,0.400336001
60607,Dailekh,Dullu Municipality,0.1,1,1,0,0,0.076923077,0.15,0.05,0.234375,0.05,1,0,0,0.058861294,0.568032681,0.313507418,0.659355785,0.916622991,0.744067721,0.454503939,0.441207612,0.40794632,0.500877862,0.492589165,0.551962645,0.338997466,0.636314608,0.473159231,0.725053061,0.166120245,0.773323783,0.520174166,0.602523141,0.348244234,0.403569692,0.422198337
60608,Dailekh,Narayan Municipality,0.4,0.466666667,0,0,0,0.346153846,0.15,0.15,0.15625,0.1,0,0,0,0.047010834,0.461871861,0.425501612,0.326483291,0.493634801,0.997591071,1,1,0.329061408,0.175079154,0.2977369,0.387880355,0.655628483,0.186596996,0,0.5955556,0.481345725,0.639664626,0.066675634,1,0.185747832,0.388393565,0.338886373
60609,Dailekh,Bhagawatimai Gaunpalika,0,0.733333333,0,1,0,0.115384615,0,0,0.609375,0.25,0,0,0,0.182089233,0.79232282,0.796653188,0.053996899,0.27256964,0.619363604,0.915714587,0.140485282,0.036680549,0.047032232,0,0.083808964,0,0,0.330178829,0.063414833,0.762992229,0.438865684,0,0.162162035,0.914158168,0.377712484,0.274134757
60610,Dailekh,Dungeshwor Gaunpalika,0.3,0.266666667,0,0,0,0.269230769,0.1,0.15,0.359375,1,0,0.6,0,1,0,0.73526658,0.387876642,0.341830062,1,0.806525063,0.784678835,0.438547117,0.437090539,0.65668336,0.710831474,1,0.50617656,0.148000681,0.649848204,0,1,0.166181059,0.18844219,0.740112939,0.39615608,0.433628345
