lcode,municipality
10105,Aatharai Tribeni
10101,Phaktanlung
10106,Phungling
10102,Mikwakhola
10103,Meringden
10104,Maiwakhola
10107,Pathivara Yangwarak
10109,Sidingba
10108,Sirijanga
10906,Kummayak
10907,Tumbewa
10903,Falelung
10905,Falgunanda
10904,Phidim
10908,Miklajung
10901,Yangbarak
10902,Hilihan
11003,Illam
11007,Chulachuli
11004,Deumai
11005,Fakfokathum
11008,Mai
11001,Mai Jogmai
11006,Mangsebung
11010,Rong
11002,Sandakpur
11009,Suryodaya
11103,Arjundhara
11115,Kachanakawal
11104,Kankai
11106,Kamal
11108,Gauradaha
11109,Gauriganj
11110,Jhapa
11107,Damak
11111,Barhadashi
11102,Buddhashanti
11114,Bhadrapur
11101,Mechinagar
11112,Birtamod
11105,Shivasatakshi
11113,Haldibari
10206,Khandabari
10204,Chichila
10208,Chainapur
10210,Dharmadevi
10207,Panchakhapan
10201,Bhotkhola
10202,Makalu
10209,Madi
10205,Sabhapokhari
10203,Silichong
10801,Aatharai
10806,Chhathar
10802,Phedap
10803,Menchhayayem
10804,Myanglung
10805,Laligurans
10605,Arun
10609,Aamchowk
10603,Temkemaiyum
10606,Pauwa Dunma
10604,Bhojpur
10607,Ramprasad Rai
10601,Shadananda
10602,Salpa Silichho
10608,Hatuwagadhi
10705,Shahidbhumi
10707,Chaubise
10703,Chhathar Jorpati
10704,Dhankuta
10702,Pakhribas
10701,Mahalaxmi
10706,Sangurigadhi
11208,Urlabari
11215,Katahari
11206,Kanepokhari
11203,Kerabari
11212,Gramthan
11217,Jahada
11216,Dhanapalthan
11207,Pathari Shanishchare
11213,Budhiganga
11205,Belbari
11201,Miklajung
11211,Rangeli
11209,Ratuwamai
11202,Letang
11214,Biratnagar
11210,Sunwarshi
11204,Sundarharaicha
11306,Itahari
11309,Inaruwa
11303,Koshi
11308,Gadhi
11307,Duhabi
11311,Dewangunj
11301,Dharan
11302,Barahachhetra
11312,Barju
11304,Bhokraha Narsingh
11305,Ramdhuni
11310,Harinagar
10301,Khumbu Pasanglhamu
10304,Mapya Dudhkoshi
10305,Thulung Dudhkoshi
10306,Necha Salyan
10302,Mahakulung
10308,Likhu Pike
10303,Sotang
10307,Solu Dhudhakunda
10502,Aiselukharka
10501,Kepilasgadhi
10508,Khotehang
10509,Jante Dhunga
10507,Diprung Chuichumma
10510,Baraha Pokhari
10505,Diktel Rupakot Majhuwagadhi
10503,Rawa Besi
10506,Sakela
10504,Halesi Tuwachung
10404,Khiji Demba
10406,Champadevi
10401,Chishankhu Gadhi
10408,Manebhanjyang
10403,Molung
10405,Likhu
10402,Siddhicharan
10407,Sunkoshi
11408,Udayapurgadhi
11407,Katari
11402,Chaudandigadhi
11406,Tapli
11403,Triyuga
11404,Rautamai
11401,Belaka
11405,Limchungbung
20103,Agnisair Krishna
20102,Kanchanrup
20106,Khadak
20118,Chhinnamasta
20110,Dakneshwori
20115,Tirahut
20117,Tilathi Koiladi
20111,Belhichepana
20109,Bode Barsain
20114,Mahadewa
20113,Rajbiraj
20104,Rupani
20108,Balan-Bihul
20112,Bishnupur
20105,Shambhunath
20101,Saptakoshi
20107,Surunga
20116,Hanumannagar Kankalini
20209,Arnama
20216,Aurahi
20206,Kalyanpur
20203,Golbazar
20202,Dhangadimai
20207,Naraha
20214,Nawarajpur
20215,Bariyarpatti
20213,Bhagawanpur
20204,Mirchaiya
20211,Laxmipur Patari
20201,Lahan
20208,Bishnupur
20212,Sakhuwanankarkatti
20217,Siraha
20210,Sukhipur
20205,Karjanha
20314,Aurahi
20311,Kamala
20305,Chhireshwornath
20301,Ganeshman Charnath
20312,Janak Nandini
20315,Janakpurdham
20302,Dhanushadham
20316,Dhanauji
20317,Nagarain
20304,Bateshwor
20303,Mithila
20307,Mithila Bihari
20318,Mukhiyapatti Musaharmiya
20306,Laxminiya
20313,Bideha
20310,Shahidnagar
20309,Sabaila
20308,Hanspur
20402,Gaushala
20415,Jaleshwor
20413,Pipara
20412,Mahottari
20409,Samsi
20403,Sonama
20411,Ekadara
20404,Aurahi
20401,Bardibas
20407,Balawa
20405,Bhagaha
20414,Matihani
20410,Manara Sisaba
20408,Ramgopalpur
20406,Loharpatti
20506,Ishworpur
20510,Chandranagar
20504,Barahathawa
20503,Bagmati
20520,Malangawa
20501,Lalbandi
20502,Hariban
20511,Kabilashi
20519,Kaudena
20517,Godaita
20512,Chakraghatta
20514,Dhankaul
20508,Parsa
20516,Balara
20513,Basbariya
20509,Brahmapuri
20515,Ramnagar
20518,Bishnu
20505,Haripur
20507,Haripurwa
20608,Garuda
20601,Chandrapur
20618,Ishanath
20604,Katahariya
20606,Gadhimai
20602,Gujara
20617,Gaur
20615,Durga Bhagawati
20609,Dewahi Gonahi
20612,Paroha
20603,Phatuwa Bijayapur
20611,Boudhimai
20607,Madhav Narayan
20610,Maulapur
