LCode,District,Area,% of economically active population,% of households with household assets,% of households with television access,% of households that are female owned,% of households with l& owned by female,% of population who only completed school leaving certificate,% of population who completed college degree,"% employed in transportation,communication, public utilities",% employed in accommodation & food services,"% employed in public administration,defense,social security",% employed in trade & commerce,% of households with access to internet,% of households with Cement bonded bricks/stone foundation,% of households with RCC with pillars foundation,% of households with Tap/piped water (within premises),% of households with Covered well/kuwa,% of households with Jar / bottle,% of households with Electricity lighting,% of households with Solar lighting,% of households with Bio gas lighting,Average_NewAC
60601,Dailekh,Naumule Gaunpalika,0.455387205,0.347117794,0.073820916,0.633136095,0.631016043,0.088679245,0,0.089655172,0,0,0.330112721,0,0.427020507,0.1187251,0.085953177,0.003401361,0,0.128469276,0.882236517,0.285714286,0.175882459
60602,Dailekh,Mahabu Gaunpalika,0.163299663,0.569548872,0.245044429,0.307692308,0.520499109,0.601886792,0.197115385,0.206896552,0.22875817,0.278947368,0.420289855,0.532605204,0.121833534,0.013545817,0.251170569,0.93877551,0.076923077,0.386013817,0.604032657,0.428571429,0.357171933
60603,Dailekh,Bhairabi Gaunpalika,0.071548822,0.718671679,0.053656869,0.307692308,0.434937611,0,0.430288462,0.406896552,0.307189542,0.289473684,0.702093398,0.153549631,0.234016888,0.098804781,0,1,0.128205128,0.190885953,0.824591786,0.285714286,0.366479803
60604,Dailekh,Thantik&h Gaunpalika,0.741582492,0,0,0.029585799,0,0.181132075,0.382211538,0,0.104575163,0.105263158,0,0.250883392,0,0.052589641,0.081438127,0.023809524,0,0,1,0.714285714,0.208980541
60605,Dailekh,Aathbis Municipality,0.511784512,0.486842105,0.046138072,0,0.126559715,0.052830189,0.538461538,0.303448276,0.738562092,0.163157895,0.344605475,0.306778028,0.144752714,0.047808765,0.172575251,0.112244898,0,0.043631075,0.925903018,0.428571429,0.344107095
60606,Dailekh,Chamunda Bindrasaini Municipality,0.152356902,0.234962406,0.011961722,0.088757396,0.085561497,0.28490566,0.475961538,0.4,0.62745098,0.047368421,0.397745572,0.128172181,0.063932449,0,0.280602007,0.081632653,0.102564103,0.060235123,0.946190005,0.285714286,0.25737228
60607,Dailekh,Dullu Municipality,0.227272727,0.447368421,0.213943951,0.112426036,0.472370766,0.088679245,0.314903846,0.372413793,0.326797386,0.242105263,0.497584541,0.24702859,0.139927624,0.156175299,0.039966555,0.602040816,0,0.471336808,0.519173676,1,0.349353682
60608,Dailekh,Narayan Municipality,0.171717172,0.88283208,1,1,1,1,1,1,1,1,1,1,1,1,0.554849498,0.159863946,0.076923077,0.877469398,0.118629391,0.285714286,0.648354551
60609,Dailekh,Bhagawatimai Gaunpalika,0,0.90726817,0.04784689,0.25443787,0.509803922,0.403773585,0.175480769,0.234482759,0.019607843,0.442105263,0.399355878,0.127850948,0.295536791,0.011952191,0.537625418,0.010204082,1,0.084959399,0.92936665,0.428571429,0.354681939
60610,Dailekh,Dungeshwor Gaunpalika,0.793771044,0.947994987,0.398496241,0.704142012,0.832442068,0.509433962,0.288461538,0.4,0.640522876,0.394736842,0.281803543,0.602634115,0.348612786,0.243027888,0.695150502,0.081632653,0,1,0,0,0.42550764
60611,Dailekh,Gurans Gaunpalika,1,1,0.205741627,0.207100592,0.449197861,0.435849057,0.060096154,0.751724138,0.633986928,0.2,0.006441224,0.116929007,0.143546441,0.010358566,1,0,0,0.260210884,0.747278575,0,0.360090887
