lcode,municipality
10105,Aatharai Tribeni Rural Municipality
10101,Phaktanlung Rural Municipality
10106,Phungling Urban Municipality
10102,Mikwakhola Rural Municipality
10103,Meringden Rural Municipality
10104,Maiwakhola Rural Municipality
10107,Pathivara Yangwarak Rural Municipality
10109,Sidingba Rural Municipality
10108,Sirijanga Rural Municipality
10906,Kummayak Rural Municipality
10907,Tumbewa Rural Municipality
10903,Falelung Rural Municipality
10905,Falgunanda Rural Municipality
10904,Phidim Urban Municipality
10908,Miklajung Rural Municipality
10901,Yangbarak Rural Municipality
10902,Hilihan Rural Municipality
11003,Illam Urban Municipality
11007,Chulachuli Rural Municipality
11004,Deumai Urban Municipality
11005,Fakfokathum Rural Municipality
11008,Mai Urban Municipality
11001,Mai Jogmai Rural Municipality
11006,Mangsebung Rural Municipality
11010,Rong Rural Municipality
11002,Sandakpur Rural Municipality
11009,Suryodaya Urban Municipality
11103,Arjundhara Urban Municipality
11115,Kachanakawal Rural Municipality
11104,Kankai Urban Municipality
11106,Kamal Rural Municipality
11108,Gauradaha Urban Municipality
11109,Gauriganj Rural Municipality
11110,Jhapa Rural Municipality
11107,Damak Urban Municipality
11111,Barhadashi Rural Municipality
11102,Buddhashanti Rural Municipality
11114,Bhadrapur Urban Municipality
11101,Mechinagar Urban Municipality
11112,Birtamod Urban Municipality
11105,Shivasatakshi Urban Municipality
11113,Haldibari Rural Municipality
10206,Khandabari Urban Municipality
10204,Chichila Rural Municipality
10208,Chainapur Urban Municipality
10210,Dharmadevi Urban Municipality
10207,Panchakhapan Urban Municipality
10201,Bhotkhola Rural Municipality
10202,Makalu Rural Municipality
10209,Madi Urban Municipality
10205,Sabhapokhari Rural Municipality
10203,Silichong Rural Municipality
10801,Aatharai Rural Municipality
10806,Chhathar Rural Municipality
10802,Phedap Rural Municipality
10803,Menchhayayem Rural Municipality
10804,Myanglung Urban Municipality
10805,Laligurans Urban Municipality
10605,Arun Rural Municipality
10609,Aamchowk Rural Municipality
10603,Temkemaiyum Rural Municipality
10606,Pauwa Dunma Rural Municipality
10604,Bhojpur Urban Municipality
10607,Ramprasad Rai Rural Municipality
10601,Shadananda Urban Municipality
10602,Salpa Silichho Rural Municipality
10608,Hatuwagadhi Rural Municipality
10705,Shahidbhumi Rural Municipality
10707,Chaubise Rural Municipality
10703,Chhathar Jorpati Rural Municipality
10704,Dhankuta Urban Municipality
10702,Pakhribas Urban Municipality
10701,Mahalaxmi Urban Municipality
10706,Sangurigadhi Rural Municipality
11208,Urlabari Urban Municipality
11215,Katahari Rural Municipality
11206,Kanepokhari Rural Municipality
11203,Kerabari Rural Municipality
11212,Gramthan Rural Municipality
11217,Jahada Rural Municipality
11216,Dhanapalthan Rural Municipality
11207,Pathari Shanishchare Urban Municipality
11213,Budhiganga Rural Municipality
11205,Belbari Urban Municipality
11201,Miklajung Rural Municipality
11211,Rangeli Urban Municipality
11209,Ratuwamai Urban Municipality
11202,Letang Urban Municipality
11214,Biratnagar Metropolitian City
11210,Sunwarshi Urban Municipality
11204,Sundarharaicha Urban Municipality
11306,Itahari Sub-Metropolitian City
11309,Inaruwa Urban Municipality
11303,Koshi Rural Municipality
11308,Gadhi Rural Municipality
11307,Duhabi Urban Municipality
11311,Dewangunj Rural Municipality
11301,Dharan Sub-Metropolitian City
11302,Barahachhetra Urban Municipality
11312,Barju Rural Municipality
11304,Bhokraha Narsingh Rural Municipality
11305,Ramdhuni Urban Municipality
11310,Harinagar Rural Municipality
10301,Khumbu Pasanglhamu Rural Municipality
10304,Mapya Dudhkoshi Rural Municipality
10305,Thulung Dudhkoshi Rural Municipality
10306,Necha Salyan Rural Municipality
10302,Mahakulung Rural Municipality
10308,Likhu Pike Rural Municipality
10303,Sotang Rural Municipality
10307,Solu Dhudhakunda Urban Municipality
10502,Aiselukharka Rural Municipality
10501,Kepilasgadhi Rural Municipality
10508,Khotehang Rural Municipality
10509,Jante Dhunga Rural Municipality
10507,Diprung Chuichumma Rural Municipality
10510,Baraha Pokhari Rural Municipality
10505,Diktel Rupakot Majhuwagadhi Urban Municipality
10503,Rawa Besi Rural Municipality
10506,Sakela Rural Municipality
10504,Halesi Tuwachung Urban Municipality
10404,Khiji Demba Rural Municipality
10406,Champadevi Rural Municipality
10401,Chishankhu Gadhi Rural Municipality
10408,Manebhanjyang Rural Municipality
10403,Molung Rural Municipality
10405,Likhu Rural Municipality
10402,Siddhicharan Urban Municipality
10407,Sunkoshi Rural Municipality
